file_name,unique_id,page,image_url,title,author,publisher,year_published,subject,illustration,type,page_content
Cusick_SketchesofAncientHistory_pg(1).jpg,CUSICK01,1,"https://iiif-images.library.upenn.edu/iiif/2/8b6e7643-4bed-470d-86dd-5304033d913b/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,title,cover
Cusick_SketchesofAncientHistory_pg(2).jpg,CUSICK02,2,"https://iiif-images.library.upenn.edu/iiif/2/77a15da8-c7ca-4c53-a1b3-be3315132d67/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,blank,cover
Cusick_SketchesofAncientHistory_pg(3).jpg,CUSICK03,3,"https://iiif-images.library.upenn.edu/iiif/2/96b1d015-2d2c-4455-8802-a389ba157c15/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,title,title_page
Cusick_SketchesofAncientHistory_pg(4).jpg,CUSICK04,4,"https://iiif-images.library.upenn.edu/iiif/2/60139090-26f4-4a89-85c5-e7462f5ea69b/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,blank,blank_page
Cusick_SketchesofAncientHistory_pg(5).jpg,CUSICK05,5,"https://iiif-images.library.upenn.edu/iiif/2/19928431-29db-4990-ac01-dc986fa2cfd2/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,text,preface
Cusick_SketchesofAncientHistory_pg(6).jpg,CUSICK06,6,"https://iiif-images.library.upenn.edu/iiif/2/35289164-4da1-4b80-a287-1b54949c32aa/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,blank,blank_page
Cusick_SketchesofAncientHistory_pg(7).jpg,CUSICK07,7,"https://iiif-images.library.upenn.edu/iiif/2/3a2c0040-de23-47bd-8a3b-5147a3236055/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,yes,illustration,illustration
Cusick_SketchesofAncientHistory_pg(8).jpg,CUSICK08,8,"https://iiif-images.library.upenn.edu/iiif/2/da922a8a-2231-488c-9948-2a2074c68b83/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,blank,blank_page
Cusick_SketchesofAncientHistory_pg(9).jpg,CUSICK09,9,"https://iiif-images.library.upenn.edu/iiif/2/12e57c69-48ad-4aa9-a9ef-f1d8c3f7aee9/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,yes,illustration,illustration
Cusick_SketchesofAncientHistory_pg(10).jpg,CUSICK10,10,"https://iiif-images.library.upenn.edu/iiif/2/98437c96-6c0f-4818-a62c-432ed4fdc165/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,blank,blank_page
Cusick_SketchesofAncientHistory_pg(11).jpg,CUSICK11,11,"https://iiif-images.library.upenn.edu/iiif/2/04e5aca4-b1ef-41c1-b178-8b305bde2be6/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,yes,illustration,illustration
Cusick_SketchesofAncientHistory_pg(12).jpg,CUSICK12,12,"https://iiif-images.library.upenn.edu/iiif/2/062a211b-555a-4ff1-8b44-05165c20ef23/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,blank,blank_page
Cusick_SketchesofAncientHistory_pg(13).jpg,CUSICK13,13,"https://iiif-images.library.upenn.edu/iiif/2/63bb4eb6-ffd3-476b-8b74-4f3274b12b56/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,yes,illustration,illustration
Cusick_SketchesofAncientHistory_pg(14).jpg,CUSICK14,14,"https://iiif-images.library.upenn.edu/iiif/2/b5ef40d8-4bde-4128-9141-a99f7f1877bf/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,blank,blank_page
Cusick_SketchesofAncientHistory_pg(15).jpg,CUSICK15,15,"https://iiif-images.library.upenn.edu/iiif/2/f49bf029-3361-4ef3-b8c4-69e3cb33668f/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,text,part_1
Cusick_SketchesofAncientHistory_pg(16).jpg,CUSICK16,16,"https://iiif-images.library.upenn.edu/iiif/2/e3f7dfc9-5a3b-4342-9981-576523a0e3d1/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,text,part_1
Cusick_SketchesofAncientHistory_pg(17).jpg,CUSICK17,17,"https://iiif-images.library.upenn.edu/iiif/2/4235dddb-cc53-4db0-b177-25bbd681cada/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,text,part_1
Cusick_SketchesofAncientHistory_pg(18).jpg,CUSICK18,18,"https://iiif-images.library.upenn.edu/iiif/2/d4c84655-a177-4305-bdef-81569434b406/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,text,part_2
Cusick_SketchesofAncientHistory_pg(19).jpg,CUSICK19,19,"https://iiif-images.library.upenn.edu/iiif/2/dc31d16e-3b4e-4585-a7a1-1948f603d15c/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,text,part_2
Cusick_SketchesofAncientHistory_pg(20).jpg,CUSICK20,20,"https://iiif-images.library.upenn.edu/iiif/2/059d81b0-0d0e-4a53-9a85-3ab5fffd9cca/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,text,part_2
Cusick_SketchesofAncientHistory_pg(21).jpg,CUSICK21,21,"https://iiif-images.library.upenn.edu/iiif/2/38c403c4-1efc-42c5-b556-d8b9f90c383e/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,text,part_2
Cusick_SketchesofAncientHistory_pg(22).jpg,CUSICK22,22,"https://iiif-images.library.upenn.edu/iiif/2/d11faec5-f043-41bd-98a8-150a6d215f94/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,text,part_2
Cusick_SketchesofAncientHistory_pg(23).jpg,CUSICK23,23,"https://iiif-images.library.upenn.edu/iiif/2/a26296e8-cef6-4d7e-8a1c-2ad405a9cf0c/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,text,part_2
Cusick_SketchesofAncientHistory_pg(24).jpg,CUSICK24,24,"https://iiif-images.library.upenn.edu/iiif/2/5d896f77-8722-4395-b8d5-72dfd2fe78d3/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,text,part_2
Cusick_SketchesofAncientHistory_pg(25).jpg,CUSICK25,25,"https://iiif-images.library.upenn.edu/iiif/2/09f0ffe4-6b84-4d8a-b805-f1a39a165f55/full/!200,200/0/default.jpg",David Cusick's Sketches of Ancient History of the Six Nations,David Cusick,"Turner & McCollum, printers, Democrat Office",1848,Iroquois Indians Native Americans - History,no,text,part_2
